# This file is generated on 26-Aug-2022 at 14:00:14 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 1, 3.7500e+01, 6.2943e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4215e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.2392e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.6572e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.3922e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.8643e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.3322e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.8753e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.4636e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1285e+01, 1.3000e-01
1, 1, 3.7500e+01, 8.7541e+00, 2.1000e-01
1, 1, 3.7500e+01, 6.5687e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.7616e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.5650e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4221e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.6255e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.0986e+00, 5.1000e+00
1, 1, 3.7500e+01, 7.5431e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.6160e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.8395e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.5949e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.0131e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.5103e-01, 5.5000e+01
1, 1, 3.7500e+01, 1.1783e-01, 7.2000e+01
1, 1, 3.7500e+01, 9.5577e-02, 9.0000e+01
1, 1, 3.7500e+01, 8.7316e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.5961e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.0783e+00, 5.1000e+00
1, 2, 3.7500e+01, 7.4015e-01, 8.3000e+00
1, 2, 3.7500e+01, 5.5093e-01, 1.2000e+01
1, 2, 3.7500e+01, 3.7654e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.5440e-01, 3.0000e+01
1, 2, 3.7500e+01, 1.9733e-01, 4.0000e+01
1, 2, 3.7500e+01, 1.4802e-01, 5.5000e+01
1, 2, 3.7500e+01, 1.1546e-01, 7.2000e+01
1, 2, 3.7500e+01, 9.3637e-02, 9.0000e+01
1, 2, 3.7500e+01, 8.5538e-02, 9.9000e+01
1, 2, 3.7500e+01, 6.2127e+01, 1.0000e-03
1, 2, 3.7500e+01, 5.3488e+01, 2.0000e-03
1, 2, 3.7500e+01, 4.1799e+01, 5.0000e-03
1, 2, 3.7500e+01, 3.6049e+01, 8.0000e-03
1, 2, 3.7500e+01, 3.3432e+01, 1.0000e-02
1, 2, 3.7500e+01, 2.8220e+01, 1.6000e-02
1, 2, 3.7500e+01, 2.2970e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.8464e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.4405e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.1103e+01, 1.3000e-01
1, 2, 3.7500e+01, 8.6105e+00, 2.1000e-01
1, 2, 3.7500e+01, 6.4588e+00, 3.5000e-01
1, 2, 3.7500e+01, 4.6803e+00, 6.0000e-01
1, 2, 3.7500e+01, 3.5030e+00, 9.5000e-01
1, 2, 3.7500e+01, 2.3791e+00, 1.7000e+00
